project,id,sentence,patterns,ob,eb,sr,label,new_label,Unnamed: 9,predicted_ob,predicted_eb,predicted_sr,predicted_label,Unnamed: 14,bee_ob,bee_eb,bee_sr,bee_label
docker,10166,"## Step 2: Using ```docker logs``` to show the above logs, but **nothing** found.","S_OB_BUT_NEG,S_SR_GERUND_ACTION",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,10738,I have a my startup script that looks like this but when I run this using docker run command I get the Exec format errors.,"S_OB_COND_NEG,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,11087,The issue happens when you are running with `--pid=host` and you do a SIGKILL but that process has children that don't terminate when its parent dies.,"S_OB_NEG_COND,S_OB_NEG_AUX_VERB,S_OB_HAPPENS,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,0,0,1,4
docker,11087,Now you do a `docker stop` or any action and Docker will complain that it can't find the process.,"S_OB_NEG_AUX_VERB,S_SR_SIMPLE_PRESENT_SUBORDINATES,",1,0,1,5,5,,1,0,0,1,,1,0,0,1
docker,11087,"Now if you restart the Docker daemon, Docker thinks the container is gone (I assume because the PID is gone) and then it will start a new one but the old container cgroup still exists.","S_OB_COND_NEG,S_OB_STILL,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,12158,Sending kill signal to the Linux process (like `top`) while attached to a container (either with `attach`/`exec` or `run -i -t`) from Windows CLI terminates the docker.exe.,S_SR_GERUND_ACTION,1,0,1,5,3,,0,0,0,0,,0,0,0,0
docker,14175,"Hi,
I have faced this problem, when I mount a host directory to a container:
`docker run -it -v /home/share:/home/share centos /bin/bash`","S_OB_VERB_ERROR,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,0,0,0,0
docker,14496,"I know nothing about Docker....
Trying to load docker image by ""sudo docker load -i symdrive.tar.gz"" but getting following error","S_OB_VERB_ERROR,S_OB_BUT_NEG,S_SR_TRY,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,15997,Some examples;,P_OB_ERROR_TERMS_PARAGRAPH,1,0,1,5,1,,1,0,0,1,,0,0,0,0
docker,15997,"After restarting the daemon, volume `foobar2` is no longer visible.","S_OB_NO_LONGER,S_OB_AFTER_NEG,S_SR_AFTER",1,0,1,5,5,,1,0,0,1,,1,0,0,1
docker,16114,"If I run multiple docker command within 3sec, there is no delay on the second docker command.",P_OB_DESCRIPTION,1,0,1,5,1,,1,0,1,5,,1,0,1,5
docker,18841,"docker overlay network lost when reboot,recreate error:","S_OB_NEG_COND,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,19214,"If you've done a docker login, you'll get a base64 encoded json file which looks like:","S_OB_COND_POS,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,19214,"If you then do a docker logout, you'll get:","S_OB_COND_POS,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,0,0,1,4
docker,1985,"and then press ctrl-c, then the docker daemon dies with:
2013/09/24 14:28:38 Received signal 'terminated', exiting","S_OB_NEG_VERB,P_SR_COND_CODE",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,20469,The above will complain that there's an active container running.,S_OB_NEG_VERB,1,0,1,5,1,,1,0,0,1,,1,0,0,1
docker,20469,Run `docker ps` and `docker images` and note how the image you used in Step 1 is still labeled correctly.,P_SR_LABELED_LIST,1,0,1,5,3,,0,0,1,4,,0,0,0,0
docker,20469,The above will complain that there's an active container running.,S_OB_NEG_VERB,1,0,1,5,1,,1,0,0,1,,1,0,0,1
docker,20469,"However, now when you run `docker ps` and `docker images`, the image is now untagged.","S_OB_BUT,S_OB_PASSIVE_VOICE,P_SR_LABELED_LIST",1,0,1,5,5,,1,0,1,5,,0,0,1,4
docker,20586,"Whenever I try any docker commands (`ps`, `info`, `version`) the command hangs.","S_OB_COND_NEG,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,22358,"When I specify [logger tag](https://docs.docker.com/engine/admin/logging/log_tags/) for application running in docker container, I expect all messages of application will have exact same tag, but actually every message tag prefixed with `docker/`.","S_OB_BUT,S_EB_EXPECTED",1,1,0,4,5,,0,0,0,0,,1,0,0,1
docker,23302,But when I try to `docker stop/rm` any of these two containers (either by name or ID) I got:,"S_OB_COND_POS,S_SR_COND_OBS,",1,0,1,5,5,,0,0,1,4,,1,0,0,1
docker,2619,"If I push an image called bmorearty/xyz and then I make a brand new image (not based on the first one) and run `docker push bmorearty/xyz` again, the registry allows it.","S_OB_COND_POS,S_OB_ALLOW,S_SR_COND_OBS,",1,0,1,5,5,,0,0,0,0,,1,0,0,1
docker,2778,"When running an improper command the shell breaks (no characters appear when typing, hitting enter does not post newline).","S_OB_COND_NEG,S_OB_NO_NOUN,S_OB_NEG_AUX_VERB",1,0,1,5,1,,1,0,0,1,,1,0,0,1
docker,338,Now when I run make in the root of the repo I get the error in [1].,"S_OB_VERB_ERROR,S_OB_COND_NEG,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,4046,"Since I switched to v0.8.0, when committing a container via the REST API (`docker commit` but not `docker build`) at least the `Entrypoint` and `Cmd` parameters appear to be ignored.","S_OB_COND_NEG,S_OB_SEEMS_TO_BE,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,4614,getting errors running npm install after switching users within the Dockerfile:,"S_OB_VERB_ERROR,S_OB_NEG_AFTER,S_SR_CODE_REF,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,4797,"Image is ""-9223372036854776000"" (hex: -0x80000000000000c0L), but `docker inspect` (or`curl /containers/09906a9649d279dc7991dd1e58dbdcc372f9f9e14304549628fbcef21c398785/json`) shows the correct image hash:","S_OB_BUT,S_EB_BUT_CORRECT,",1,1,0,4,4,,1,1,0,3,,1,1,0,3
docker,6612,An image built with this `Dockerfile`:,"S_SR_CODE_REF,P_OB_ERROR_TERMS_PARAGRAPH",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,7727,"* I was expecting `--quiet` to suppress that output, but it only removes the output from commands run in containers, not the rest of the client's output.","S_OB_BUT,S_OB_ONLY,S_EB_EXPECTED",1,1,0,4,4,,1,1,0,3,,1,1,0,3
docker,8642,"However, with Docker 1.3.0, the `stdin` connection is kept alive and never closed when running this same command -- ie, `hi` is printed and then the stdin connection is locked.","S_OB_BUT_NEG,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,8686,running a docker in docker will result in a not clean enviroment,S_OB_LEADS_TO_NEG,1,0,1,5,1,,0,0,0,0,,1,0,0,1
docker,9058,"The ""docker run"" command flag ""device"" does not preserve the localhost device group when copied into the docker container.","S_OB_NEG_AUX_VERB,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,943,"in the repository root produces the following output:
https://gist.github.com/hansent/5815177",S_OB_LEADS_TO,1,0,1,5,1,,1,0,1,5,,0,0,0,0
docker,943,"I tried changing the ADD to INSERT and giving it the raw.github url for the supervisord config, but that got me:
 Error build: INSERT has been deprecated.","S_OB_VERB_ERROR,S_SR_TRY",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,9472,"when i restart docker闂?log is like that闂?""S_SR_COND_OBS",P_OB_LOG_CONTAINS,1,0,1,5,3,,1,0,0,1,,1,0,1,5
eclipse,102620,"In the CVS Repository Exploring perspective, if you select ""Compare With"" on a
branch or version, it eventually opens a ""Structured Compare"" window showing all
the changes.","S_OB_COND_POS,S_SR_COND_OBS",1,0,1,5,5,,1,0,0,1,,1,0,1,5
eclipse,104448,"The filter section makes the wizard too long
A workbook should be created on the import page; first tab should be the range 
options and the second tab will be the filters","S_EB_SHOULD,",1,1,0,4,2,,0,0,0,0,,0,0,0,0
eclipse,106554,The program should output 1 but it outputs null instead.,"S_OB_BUT_NEG,S_EB_SHOULD,",1,1,0,4,4,,1,1,0,3,,1,1,0,3
eclipse,116715,Actual: Undo is not available.,S_OB_NEG_AUX_VERB,1,0,1,5,1,,1,0,0,1,,1,0,0,1
eclipse,116715,Ctrl-Z does not undo the action.,"S_OB_NEG_AUX_VERB,P_SR_ACTIONS_MULTI_OBS_BEHAVIOR",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,116715,Actual: Undo is not available.,S_OB_NEG_AUX_VERB,1,0,1,5,1,,1,0,0,1,,1,0,0,1
eclipse,116715,Ctrl-Z does not undo the action.,P_SR_ACTIONS_MULTI_OBS_BEHAVIOR,1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,125135,When saving a file (even if I only add a blank to it) I see a CPU consumption of 100% for about 1 - 2 sec on my machine.,"S_OB_COND_POS,S_OB_FOR_TIME,S_OB_DESPITE,S_SR_COND_OBS",1,0,1,5,5,,1,0,0,1,,1,0,1,5
eclipse,125350,"Similarly, when I de-maximize, I see the upper left corner of a too-large rendering.","S_OB_TOO,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,135728,When I have a project which is associated with a subversion repository the team context menu is empty when I click on the project.,"S_OB_COND_NEG,S_SR_COND_OBS,P_SR_COND_SEQUENCE",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,135728,If I select any resource below the project root the team context menu shows up normal.,"S_SR_COND_OBS,P_SR_COND_SEQUENCE",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,139083,"Upon opening the editor, the prior version showed back up.","S_OB_COND_POS,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,139083,"When I opened the editor the second time, only the version were displayed on the editor.","S_OB_COND_POS,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,150,"While merging changes from my stream into HEAD, I had to merge a couple of conflicts.",P_SR_COND_SEQUENCE,1,0,1,5,3,,0,0,0,0,,1,0,0,1
eclipse,150,"When I was
prompted to save, it took >15 seconds to perform the save.",P_SR_COND_SEQUENCE,1,0,1,5,5,,0,1,1,6,,0,1,1,6
eclipse,150,"The icon did not change to an hourglass
and for a second I thought that Eclipse was dying a slow death.","S_OB_NEG_AUX_VERB,S_OB_FOR_TIME",1,0,1,5,1,,1,0,0,1,,1,0,0,1
eclipse,152809,"However when I moved a whole directory from one part of the webproject to another I found copies in place places, the new destination and the old source location.","S_OB_COND_NEG,S_OB_FOUND,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,155913,"- Within the editor, I couldn't open the new class but I could no longer create it again because it already existed","S_OB_NO_LONGER,P_SR_ACTIONS_PAST",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,159941,Console displays on the terminal rather than the workbench during profiling on linux_390,S_OB_INSTEAD_OF,1,1,0,4,1,,1,1,0,3,,1,1,0,3
eclipse,16015,It should be empty but it is not.,"S_OB_BUT_NEG,S_EB_SHOULD,",1,1,0,4,4,,1,1,0,3,,1,1,0,3
eclipse,16643,"I have mozilla, and it tells me:
""The file /http://download.eclipse.org/updates/info/siteInfo.html cannote be
found.",S_OB_NEG_AUX_VERB,1,0,1,5,1,,0,0,0,0,,0,0,0,0
eclipse,166937,source lookup (from clicking on log4j console printouts) failes in eclipse 3.2 when using brackets in log4j conversion pattern.,"S_OB_NEG_VERB,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,171670,"When I use Shift+Tab to decrease indentation level of selected C source lines, these selected C source lines are scrolled up or down (depends on its position on screen), why?",S_OB_COND_POS,1,0,1,5,1,,0,0,0,0,,0,0,1,4
eclipse,171670,PS: It's the same when you use Tab to increase indentation.,"S_OB_SAME_PROBLEM_WHEN,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,174813,3 task tags are found and reported in tasks view,"S_OB_PASSIVE_VOICE,P_SR_ACTIONS_INF",1,0,1,5,5,,1,0,1,5,,0,0,1,4
eclipse,174813,6 ** task tags are still in tasks view and marked in files (though any new todo comments are no longer turned into task tags),"S_OB_STILL,S_OB_NO_LONGER,P_SR_ACTIONS_INF",1,0,1,5,5,,1,0,0,1,,1,0,1,5
eclipse,201897,"When using Mylyn, 
In the 'package explorer' pane, when I have enabled 'Focus on Active Task' and 'Link with Editor', the 'link with editor' feature does not work for htm files.","S_OB_NEG_AUX_VERB,S_SR_COND_SEQUENCE",1,0,1,5,5,,1,0,0,1,,1,0,1,5
eclipse,246948,"4 They go back into the wizard to create a new JPA project, but the connection still fails, with an error indicating the password wasn't specified.","S_OB_BUT_NEG,P_SR_ACTIONS_PRESENT",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,247276,"Create a remote connection, open the connection, add a file from outside of geclipse's connections (e.g. using the terminal) to the directory, use the ""refresh"" action in the context menu on the connection - the busy cursor will show up for a short time but the content will not change.","S_OB_BUT_NEG,S_SR_IMPERATIVE_SEQUENCE",1,0,1,5,5,,0,0,0,0,,1,0,1,5
eclipse,24924,"quick fix DDd to add unimplemented methods
you get this: (javadoc for compare is incorrect - it should refer to 
Comparable#compare)","S_OB_NEG_ADV_ADJ,S_EB_SHOULD,S_SR_CODE_REF,",1,1,1,7,7,,1,1,1,7,,1,1,1,7
eclipse,249668,A report containing a hidden column having a footer in which all the cells are merged causes an ArrayIndexOutOfBoundsException when the report is viewed in PDF output.,"S_OB_VERB_ERROR,P_SR_ACTIONS_MULTI_OBS_BEHAVIOR",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,249668,The report works fine from the preview and from the HTML view.,S_OB_WORKS_FINE,1,0,1,5,1,,0,0,0,0,,0,0,1,4
eclipse,249668,This results in the ArrayIndexOutOfBoundsException.,"S_OB_LEADS_TO_NEG,P_SR_ACTIONS_MULTI_OBS_BEHAVIOR",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,249668,This report design works fine in BIRT 2.1.2 and does not work in 2.3 or 2.3.1.,"S_OB_NEG_AUX_VERB,S_OB_WORKS_FINE",1,0,1,5,1,,1,0,0,1,,1,0,0,1
eclipse,270417,"The node should disappear in the outline view,but the node show.","S_OB_BUT,S_EB_SHOULD,",1,1,0,4,4,,1,1,0,3,,1,1,0,3
eclipse,286568,"I get a can't instantiate class exception when I run the query ""select o from Site o"" when I have the following","S_OB_NEG_COND,S_OB_VERB_ERROR,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,0,0,1,4
eclipse,289198,I get an exception when removing a resource and then adding a new with the same path:,"S_OB_NEG_COND,S_OB_VERB_ERROR,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,294983,"If I click any of the projects, it may take several seconds for the query to run.","S_OB_COND_POS,P_SR_COND_SEQUENCE",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,294983,"If the database server is busy, it can take even longer.",S_OB_COMP_ADJ,1,0,1,5,1,,1,0,0,1,,1,0,0,1
eclipse,294983,"During this time, I click on another project, which launches another query, which makes everything take even longer.","S_OB_COMP_ADJ,P_SR_COND_SEQUENCE",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,295138,Creating a new C++ Hello world project and clicking on Project -> Make Targets -> build shows nothing in the list.,"S_OB_VERB_NO,S_SR_MENU_NAV",1,0,1,5,5,,1,0,1,5,,1,0,0,1
eclipse,302185,"It is possible when creating a JAXBContext on an array of Class or TypeMappingInfo, that a class reachable through reflection could not found.","S_OB_COND_NEG,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,1,0,0,1
eclipse,302185,This occurs when the reachable class cannot not be found by the class loader assigned to the JAXBContext.,"S_OB_POS_COND,S_OB_NEG_AUX_VERB,S_OB_HAPPENS,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,306006,The code below breaks the standard usability.,"S_OB_NEG_VERB,S_SR_CODE_REF",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,317569,The class name BBB is highlighted in editor correctly.,S_OB_PASSIVE_VOICE,1,0,1,5,1,,0,0,0,0,,0,0,0,0
eclipse,321564,==> also matches reada.ext.,"S_OB_CHAR_THEN,P_SR_ACTIONS_INF",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,321564,==> matches more than just A.t,"S_OB_CHAR_THEN,P_SR_ACTIONS_INF",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,321564,"==> matches A.text, expected: no match","S_OB_CHAR_THEN,S_EB_EXPECTED,P_SR_ACTIONS_INF",1,1,1,7,7,,1,1,1,7,,1,1,1,7
eclipse,325264,"When we open the breakpoint properties page for the JSP breakpoint, we see the following NullPointerException:",S_OB_COND_NEG,1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,3553,"3 observe: there is a list letting you select ""referenced projects"".","S_OB_OBSERVE,P_SR_ACTIONS_INF",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,3553,"5 observe: once again you can set ""referenced projects"".","S_OB_OBSERVE,S_OB_ADV_TIME_POS,P_SR_ACTIONS_INF",1,0,1,5,5,,1,0,0,1,,1,0,0,1
eclipse,36346,"The libXm.so and libXm.so.2 entries should be symlinks to libXm.so.2.1, but zip
files don't do symlinks so they get extracted as normal files.","S_OB_BUT_NEG,S_EB_SHOULD",1,1,0,4,4,,1,1,0,3,,1,1,0,3
eclipse,41883,"I can't understand why the outgoing changes didn't appear in the first place 
since the files were decorated properly in the navigator.","S_OB_WHY,S_EB_WHY_FIRST_PLACE",1,1,0,4,4,,1,1,0,3,,1,1,0,3
eclipse,50884,Compiling the attached project silently crashes in I20040128-16??.,"S_OB_NEG_VERB,S_OB_ATTACH_REF,S_SR_CODE_REF",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,52363,"The following statement produces a compilation error in JDT, even though it 
looks to me as a syntactically correct statement:","S_OB_VERB_ERROR,S_OB_DESPITE,S_SR_CODE_REF,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,53958,I was starting a big workspace and I was wondering why it was taking time.,S_OB_WHY,1,0,1,5,1,,0,1,0,2,,0,0,0,0
eclipse,57037,"When I try to checkout the batch folder from CVS OR if I try to checkout the
batch module from Eclipse M8 I get an error reported from cvs server dialog
whose details are:","S_OB_COND_NEG,S_SR_COND_SEQUENCE,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,60657,"The snippet below opens a shell that goes across multiple monitors when there 
are multiple monitors installed.","S_OB_POS_COND,S_SR_CODE_REF,",1,0,1,5,5,,0,0,1,4,,1,0,1,5
eclipse,67940,"I was making the Merge wizard smaller and noticed that the start tag list did 
not shrink past a certain size.","S_OB_NEG_AUX_VERB,S_SR_CONTINOUS_PRESENT",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,72121,"Show in Package explorer, the narrator does not read out the name of the view 
(Package explorer view).",S_OB_NEG_AUX_VERB,1,0,1,5,1,,0,0,0,0,,0,0,0,0
eclipse,72121,"The MS Jaws also does not 
read out the name of the view (Package explorer view).",S_OB_NEG_AUX_VERB,1,0,1,5,1,,1,0,0,1,,0,0,0,0
eclipse,72317,"when pasting multiple lines into IOConsole, they get double spaced.","S_OB_COND_POS,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,7485,Constructor is added but no import for Vector.,P_SR_ACTIONS_INF,1,0,1,5,3,,1,0,1,5,,1,0,1,5
eclipse,96887,It should reactivate any matching editor instead of opening a new one.,"S_OB_INSTEAD_OF,S_EB_SHOULD,S_EB_INSTEAD_OF_EXP_BEHAVIOR,",1,1,0,4,4,,1,1,0,3,,1,1,0,3
eclipse,98412,"But those JARs are not
loaded into Ant when I run it from within Eclipse.",S_OB_BUT_NEG,1,0,1,5,1,,1,0,1,5,,1,0,1,5
facebook,10257,Any call to Graph API over album or photo never returns the comment list_ and if you try to get it explicitly_ the answer is an empty data list.,"S_OB_ADV_FREQ,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
facebook,10526,When I press the  Publish  button on the facebook interface after entering some text about a post_ I get an empty window with only an  X  in the upper right-hand corner and the app just sits there.,"S_OB_COND_NEG,S_SR_WHEN_AFTER",1,0,1,5,5,,1,0,1,5,,1,0,0,1
facebook,10526,If I tap the  X  it closes the window calling the dialogDidCancel callback.,"S_OB_COND_POS,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
facebook,10526,The app is sometimes popping up the web based login screen when the user tries to publish even though the user has already logged in via the Settings facility.,"S_OB_ADV_FREQ,S_OB_DESPITE,S_OB_TRY_PRESENT,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
facebook,10602,When you click on the link and player loads - it doesn t always show ... sometimes it s OK_ but sometimes it doesn t show.,"S_OB_COND_NEG,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
facebook,10602,A blank area appears instead of the player_ and when you click on it - the movie starts_ the sound is OK_ but no picture is viewable.,"S_OB_INSTEAD_OF,S_OB_BUT_NEG,S_EB_INSTEAD_OF_EXP_BEHAVIOR,S_SR_COND_OBS",1,1,1,7,7,,1,1,1,7,,1,1,1,7
facebook,10689,When I just reduce the page down to a simple image SRC_ even that doesn t load.,"S_OB_COND_NEG,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
facebook,10689,       which does not load. I tried duplicating the image_ as:,"S_OB_NEG_AUX_VERB,S_SR_TRY",1,0,1,5,5,,1,0,1,5,,1,0,1,5
facebook,10755,When trying to embed a video using the <fb:flv> tag the previewpicture is not shown.,"S_OB_COND_NEG,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
facebook,11886,Users are getting the following error when clicking on a link on www.univision.com that points users to a URL on the same domain.,"S_OB_NEG_COND,S_OB_VERB_ERROR,S_SR_COND_OBS",1,0,1,5,5,,1,0,0,1,,1,0,1,5
facebook,12907,When I share a URL in my Facebook wall page_ I input a URL like http://support.microsoft.com/ph/14019/ko_ Facebook cannot retrieve the page info but just leaves a URL there.,"S_OB_COND_NEG,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
facebook,12951,"The profile picture url returned is http://
It should be https:// to match the request.","S_EB_SHOULD,",1,1,0,4,4,,1,1,0,3,,1,1,0,3
facebook,13376,As of this morning_ all attempts to login using login dialog in the Facebook iOS SDK are presenting the full facebook.com login page instead of the login dialog.,"S_OB_INSTEAD_OF,S_EB_INSTEAD_OF_EXP_BEHAVIOR",1,1,0,4,4,,1,1,0,3,,1,1,0,3
facebook,14123,Result: In IE8_ after posting a comment the window doesn t automatically close as indicated.,S_OB_OBS_BEHAVIOR,1,0,1,5,1,,1,0,0,1,,1,0,0,1
facebook,14131,Clicking a link that is within the iframe will open that link within the same iframe_ instead of in a better target such as _top or a new window/tab.,"S_OB_INSTEAD_OF,S_EB_INSTEAD_OF_EXP_BEHAVIOR,",1,1,0,4,4,,1,1,0,3,,1,1,0,3
facebook,14224,When using the OAuth 2.0 API authorize API call_ Blackberry widgets are shown the desktop web-based Facebook login page instead of the touch based UI as requested.,"S_OB_INSTEAD_OF,S_EB_INSTEAD_OF_EXP_BEHAVIOR,S_SR_COND_OBS",1,1,1,7,7,,1,1,1,7,,1,1,1,7
facebook,14452,when attempting to create a new picture post to a users feed_ if the picture url has a query parameter_ facebook does not accept it,"S_OB_COND_NEG,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,1,0,0,1
facebook,14981,i see:  likes : 4440,S_OB_OBSERVE,1,0,1,5,1,,1,0,0,1,,0,0,0,0
facebook,15363,After successfully uploading a new picture to our canvas page_ the  Save Thumbnail Version  Button will not click to save the adjusted thumbnail.,S_OB_AFTER_NEG,1,0,1,5,1,,0,0,0,0,,1,0,1,5
facebook,16404,in the homepage_ if you are playing a shared image; which end up playing the previously paused shared videos to play automatically behind the scenes,S_OB_END_UP,1,0,1,5,1,,0,0,1,4,,0,0,1,4
facebook,16524,Hi_ I am getting HTTP 403 forbidden error_ when posting to a friends wall via facebook graph api for some users.,"S_OB_NEG_COND,S_OB_VERB_ERROR,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
facebook,17716,Then try it with Firebug to see it working properly.,P_SR_TO_REPRO,1,0,1,5,3,,0,0,1,4,,0,0,1,4
facebook,17726,They can enter text in the entry field but when they hit Post_ a small  !Error on Page  message appears in the lower left of their browser.,"S_OB_SEEMS,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
facebook,1994,When loading a YouTube video in a dialog window from the profile page (using fb:js-string for the dialog contents containing an fb:iframe with the YouTube video embedded)_ if the dialog is opened before the ads on the left side of the profile are loaded_ it can swap the flash ad for the embedded video.,"S_OB_NOUN_PHRASE_CAN,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
facebook,2070,This error occurs just after logging into facebook_ not even hitting my app.,"S_OB_NEG_AFTER,S_OB_ERROR_AS_SUBJECT,S_OB_HAPPENS,S_SR_COND_OBS",1,0,1,5,5,,1,0,0,1,,1,0,1,5
